Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
27-Jul-26,APLAPOLLO,1849.8,1822.9,0.01464889,0.01757708,0.01756355,0.3355511,1850.1,1823.9,0.01426263,0.01736738,0.01735336,,0.01756355,
  27-Jul-26  ,ONGC,,248.76,-0.04182581,0.01638396,0.01660828,0.31730067,238.57,248.56,,0.01611485,,0.31206403,0.01660828,0.31730067
27-Jul-26,  ADANIGREEN  ,1399.7,,,0.02925958,0.02918726,0.55762176,1401.0,1394.4,0.00472205,,0.02935696,0.56086398,0.02935696,0.56086398
27-Jul-26,TMPV,327.6,323.8,0.01166731,0.02013096,0.02009762,0.38396449,328.0,324.45,0.01088217,0.02056494,0.02052797,0.3921863,0.02052797,0.3921863
27-Jul-26,  ABCAPITAL  ,400.45,393.85,0.01661879,0.02136572,0.02134452,0.40778645,399.95,393.5,0.01625847,0.02152711,0.02150406,0.41083449,0.02150406,0.41083449
27-Jul-26,  WIPRO  ,,,0.01922919,0.01668561,0.0166993,0.31903976,179.24,175.77,0.01954937,0.01624701,0.01626533,0.31074874,,0.31903976
27-Jul-26,  PIIND  ,2742.9,2731.2,0.00427468,0.01766209,0.01762049,0.33663896,2749.4,2741.6,0.00284101,0.0178918,0.01784824,0.34099019,0.01784824,0.34099019
27-Jul-26,KEI,4873.0,4868.0,0.00102659,0.02288757,0.02283038,0.43617372,4893.0,4887.0,0.00122699,0.02309342,0.02303586,0.44009954,,0.44009954
27-Jul-26,  SUZLON  ,53.14,52.28,0.01631605,0.02333145,0.0233017,0.44517837,53.15,52.32,0.0157394,0.02348371,0.02345125,0.44803555,0.02345125,0.44803555
  27-Jul-26  ,KALYANKJIL,564.6,,-0.01564042,0.03110928,0.03105115,0.59323146,564.6,573.85,-0.01625052,,0.03103044,0.59283578,0.03105115,0.59323146
27-Jul-26,  PRESTIGE  ,1644.6,1592.8,0.03200372,0.02302946,,0.44100196,1642.4,1596.8,0.02815696,0.02300534,0.02303406,0.44006506,0.0230831,0.44100196
27-Jul-26,PIDILITIND,,1570.9,0.02508225,0.01333933,0.01342371,0.25645955,1613.5,1575.3,0.02396,0.01337724,0.01345086,0.25697834,0.01345086,0.25697834
27-Jul-26,MFSL,1511.1,1515.5,,,0.01698742,0.32454416,,1517.6,-0.00568296,0.01690772,0.01687016,0.32230386,0.01698742,0.32454416
,INDUSTOWER,387.6,394.6,-0.01789871,0.01819297,0.0181914,0.34754615,388.25,394.25,-0.01533576,0.01812477,,0.34602866,0.0181914,0.34754615
27-Jul-26,PATANJALI,346.85,340.95,0.01715657,0.01882537,0.01881727,0.35950351,347.65,,0.01872741,0.01915093,0.01914888,,0.01914888,0.36583893
27-Jul-26,,1445.7,1432.9,0.00889327,0.01233299,0.01231807,,1443.8,1431.8,0.00834613,0.01190271,0.01188739,0.22710819,0.01231807,
27-Jul-26,  PNBHOUSING  ,1078.5,1058.0,0.01919085,,0.02298512,0.43913014,1078.4,,0.01777575,0.02312318,0.02309949,0.44131516,0.02309949,0.44131516
  27-Jul-26  ,AMBER,7280.5,7261.5,0.00261312,0.02840055,0.02833004,0.54124466,7308.5,7281.5,0.00370117,0.02884746,0.02877651,0.54977447,0.02877651,0.54977447
27-Jul-26,SIEMENS,3718.1,3689.7,0.00766763,0.02063696,0.02059234,0.39341615,3715.4,3690.2,0.00680569,0.02102204,0.02097503,0.40072741,0.02097503,0.40072741
  27-Jul-26  ,  FORCEMOT  ,17273.0,,,0.03226794,0.03221806,0.61552514,17281.0,,-0.02243042,0.03275501,0.03271148,0.62495202,,0.62495202
27-Jul-26,CIPLA,,1410.6,-0.00085106,0.01401446,0.01397968,0.26708149,,1409.1,-0.00234467,0.01389707,0.01386333,0.26485849,0.01397968,0.26708149
27-Jul-26,,3181.6,3176.2,0.0016987,0.03354586,0.03346218,0.63929413,3187.8,3186.2,0.00050204,0.03480934,0.03472222,0.66336715,0.03472222,0.66336715
27-Jul-26,RADICO,4149.5,4091.3,0.01412508,0.02087789,0.02084966,0.39833211,4151.0,4095.1,0.01355813,0.02087325,0.020843,0.39820496,0.02084966,
27-Jul-26,,1237.4,1226.9,0.00852174,0.01555738,0.01553007,0.29670149,1237.7,1228.1,0.00778656,,0.01581794,0.3022014,0.01581794,0.3022014
27-Jul-26,  NBCC  ,94.9,93.84,0.0112325,,0.02510115,0.47955684,95.01,93.9,0.01175176,0.02567787,0.02562701,0.48960339,0.02562701,0.48960339
27-Jul-26,COFORGE,1528.0,1484.7,,,0.0243939,0.46604484,1524.4,1483.7,0.02706192,0.02409687,0.02411262,0.46067096,0.0243939,
  27-Jul-26  ,CDSL,1329.0,1333.1,-0.00308028,,0.02243498,0.42861972,1329.2,1332.8,-0.00270473,0.02328232,0.02322491,0.44371119,0.02322491,0.44371119
27-Jul-26,  NMDC  ,83.52,83.56,-0.00047881,0.01922547,0.01917741,0.3663839,,83.59,,0.01951142,0.01946276,0.37183553,0.01946276,
27-Jul-26,TATAPOWER,377.35,,0.00784839,0.01528383,0.01525582,0.291462,377.3,374.7,0.00691492,0.01566166,0.01563018,0.29861423,0.01563018,0.29861423
27-Jul-26,  UNITDSPR  ,1482.0,1467.2,,0.01562292,0.01560011,0.29803959,1481.4,1473.1,0.00561856,0.01559802,0.0155641,0.29735179,0.01560011,0.29803959
27-Jul-26,DIXON,13810.0,13846.0,-0.00260341,0.02562223,0.02555878,0.48829986,13815.0,13855.0,-0.00289122,0.02601873,0.02595432,0.49585667,0.02595432,
27-Jul-26,,295.85,280.0,0.05506297,0.02288244,0.02315495,0.44237465,294.6,280.45,0.04922305,0.02271033,0.02291933,0.43787321,0.02315495,
