INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,ONGC      ,25/08/2026,00000248.00,00000248.29,00000238.86,00000239.71,000000048195000,     5618525647.50,         23175000,            10300,             8596
FUTSTK    ,ONGC      ,29/09/2026,00000248.00,00000248.74,00000239.60,00000240.36,000000008226000,     1163766960.00,          4776750,             2123,             1179
FUTSTK    ,RADICO    ,28/07/2026,00004125.10,00004199.70,00004122.80,00004151.00,000000000235050,     1286780295.00,           309450,             2063,             1644
FUTSTK    ,RADICO    ,25/08/2026,00004170.00,00004229.00,00004143.60,00004178.10,000000000633300,     2199692745.00,           525600,             3504,             2907
FUTSTK    ,RADICO    ,29/09/2026,00004174.10,00004221.10,00004158.70,00004191.40,000000000008700,       33289560.00,             7950,               53,               42
FUTSTK    ,RBLBANK   ,28/07/2026,00000354.00,00000363.70,00000354.00,00000362.35,000000017618075,     6799323618.75,         18903950,             5954,             4545
FUTSTK    ,RBLBANK   ,25/08/2026,00000360.45,00000364.85,00000358.25,00000363.90,000000039042975,     7502977437.50,         20761325,             6539,             4876
FUTSTK    ,RBLBANK   ,29/09/2026,00000360.55,00000365.15,00000360.00,00000365.00,000000000190500,       16118205.00,            44450,               14,               14
FUTSTK    ,RECLTD    ,28/07/2026,00000361.20,00000368.95,00000357.70,00000368.45,000000021103425,     7821222333.75,         21454650,            13622,             8335
FUTSTK    ,RECLTD    ,25/08/2026,00000355.10,00000365.20,00000355.00,00000364.65,000000038642625,     9219542220.00,         25538625,            16215,            10471
FUTSTK    ,RECLTD    ,29/09/2026,00000361.95,00000367.50,00000357.45,00000367.00,000000001064700,      333197628.75,           921375,              585,              428
FUTSTK    ,RELIANCE  ,28/07/2026,00001286.40,00001289.00,00001276.70,00001279.70,000000044530000,    34348928200.00,         26828500,            53657,            33742
FUTSTK    ,RELIANCE  ,25/08/2026,00001292.50,00001295.20,00001283.40,00001286.50,000000087790500,    36767682300.00,         28564000,            57128,            35066
FUTSTK    ,RELIANCE  ,29/09/2026,00001300.00,00001304.60,00001291.10,00001294.30,000000014533500,     2020496150.00,          1560500,             3121,             2952
FUTSTK    ,RVNL      ,28/07/2026,00000225.13,00000228.40,00000224.14,00000224.43,000000010441200,     2920199128.00,         12912900,             6708,             5241
FUTSTK    ,RVNL      ,25/08/2026,00000224.50,00000226.09,00000221.56,00000223.45,000000027673800,     3174372162.50,         14177625,             7365,             5658
FUTSTK    ,RVNL      ,29/09/2026,00000224.00,00000224.71,00000220.93,00000222.75,000000002548700,      161600419.75,           723800,              376,              343
FUTSTK    ,NAM-INDIA ,28/07/2026,00001130.70,00001158.00,00001116.50,00001152.80,000000000499375,     2260952312.50,          1971875,             3155,             2934
FUTSTK    ,NAM-INDIA ,25/08/2026,00001125.00,00001150.80,00001115.20,00001145.80,000000006672500,     3197078000.00,          2798125,             4477,             4210
FUTSTK    ,NAM-INDIA ,29/09/2026,00001124.90,00001143.00,00001124.90,00001141.60,000000000015000,        7109937.50,             6250,               10,               10
FUTSTK    ,NATIONALUM,28/07/2026,00000347.35,00000347.40,00000338.60,00000339.80,000000018523125,     3904447500.00,         11388750,             6074,             3962
FUTSTK    ,NATIONALUM,25/08/2026,00000347.70,00000348.65,00000340.05,00000341.25,000000035418750,     4085989218.75,         11876250,             6334,             4127
FUTSTK    ,NATIONALUM,29/09/2026,00000347.70,00000348.50,00000340.25,00000341.25,000000000810000,      117943312.50,           343125,              183,              176
FUTSTK    ,NAUKRI    ,28/07/2026,00001173.00,00001204.10,00001173.00,00001193.50,000000005785450,     5636298745.00,          4719000,             8580,             5892
FUTSTK    ,NAUKRI    ,25/08/2026,00001188.00,00001211.90,00001180.50,00001200.90,000000013626800,     7267276720.00,          6046700,            10994,             8076
FUTSTK    ,NAUKRI    ,29/09/2026,00001193.15,00001217.00,00001186.70,00001210.30,000000000275550,       46503792.50,            38500,               70,               55
FUTSTK    ,NBCC      ,28/07/2026,00000094.50,00000095.98,00000094.50,00000095.01,000000047346000,     3967846350.00,         41704000,             6416,             3270
FUTSTK    ,NBCC      ,25/08/2026,00000095.20,00000096.36,00000094.65,00000095.42,000000080255500,     3755558950.00,         39292500,             6045,             2943
FUTSTK    ,NBCC      ,29/09/2026,00000095.75,00000096.66,00000095.39,00000095.71,000000001898000,       39814385.00,           416000,               64,               61
FUTSTK    ,NESTLEIND ,28/07/2026,00001444.00,00001461.30,00001436.10,00001447.40,000000006363000,     7221415200.00,          5000500,            10001,             6552
FUTSTK    ,NESTLEIND ,25/08/2026,00001452.70,00001468.80,00001443.90,00001455.70,000000010311000,     7943686650.00,          5471500,            10943,             7555
FUTSTK    ,NESTLEIND ,29/09/2026,00001475.30,00001475.30,00001453.00,00001466.10,000000001179000,       27777950.00,            19000,               38,               35
FUTSTK    ,NHPC      ,28/07/2026,00000078.94,00000080.04,00000078.38,00000079.76,000000020203650,     3403771118.00,         42944050,             6179,             4557
FUTSTK    ,NHPC      ,25/08/2026,00000077.88,00000078.89,00000077.52,00000078.67,000000126073000,     3565373074.00,         45668450,             6571,             4888
FUTSTK    ,NHPC      ,29/09/2026,00000077.94,00000078.48,00000077.40,00000078.41,000000002230950,       53564692.50,           688050,               99,               84
FUTSTK    ,NMDC      ,28/07/2026,00000084.76,00000084.76,00000083.24,00000083.53,000000146441250,     7806951112.50,         93136500,            13798,             6572
FUTSTK    ,NMDC      ,25/08/2026,00000084.30,00000084.75,00000083.71,00000083.90,000000302109750,     7529975662.50,         89451000,            13252,             5910
FUTSTK    ,NMDC      ,29/09/2026,00000084.00,00000084.30,00000083.30,00000083.48,000000028397250,      647864122.50,          7735500,             1146,             1143
FUTSTK    ,NTPC      ,28/07/2026,00000351.80,00000351.95,00000347.60,00000350.30,000000057628500,    18734964600.00,         53491500,            35661,            19667
FUTSTK    ,NTPC      ,25/08/2026,00000353.00,00000353.30,00000349.25,00000351.65,000000088869000,    17103452550.00,         48624000,            32416,            16455
